brand_category_Budget,brand_category_Luxury,brand_category_Mid_Range,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,wheelbase,carlength,carwidth,carheight,curbweight,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,enginesize,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,boreratio,horsepower,citympg,highwaympg,price
0,0,1,0,1,1,0,0,1,0,0,1,88.6,168.8,64.1,48.8,2548,1,0,0,0,0,0,0,0,0,1,0,0,0,0,130,0,0,0,0,0,1,0,0,3.47,111,21,27,13495.0
0,0,1,0,1,1,0,0,1,0,0,1,88.6,168.8,64.1,48.8,2548,1,0,0,0,0,0,0,0,0,1,0,0,0,0,130,0,0,0,0,0,1,0,0,3.47,111,21,27,16500.0
0,0,1,0,1,1,0,0,1,0,0,1,94.5,171.2,65.5,52.4,2823,0,0,0,0,0,1,0,0,0,0,1,0,0,0,152,0,0,0,0,0,1,0,0,2.68,154,19,26,16500.0
0,0,1,0,1,1,0,1,0,0,1,0,99.8,176.6,66.2,54.3,2337,0,0,0,1,0,0,0,0,0,1,0,0,0,0,109,0,0,0,0,0,1,0,0,3.19,102,24,30,13950.0
0,0,1,0,1,1,0,1,0,1,0,0,99.4,176.6,66.4,54.3,2824,0,0,0,1,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,3.19,115,18,22,17450.0
0,0,1,0,1,1,0,0,1,0,1,0,99.8,177.3,66.3,53.1,2507,0,0,0,1,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,3.19,110,19,25,15250.0
0,0,1,0,1,1,0,1,0,0,1,0,105.8,192.7,71.4,55.7,2844,0,0,0,1,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,3.19,110,19,25,17710.0
0,0,1,0,1,1,0,1,0,0,1,0,105.8,192.7,71.4,55.7,2954,0,0,0,1,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,3.19,110,19,25,18920.0
0,0,1,0,1,0,1,1,0,0,1,0,105.8,192.7,71.4,55.9,3086,0,0,0,1,0,0,0,0,1,0,0,0,0,0,131,0,0,0,0,0,1,0,0,3.13,140,17,20,23875.0
0,0,1,0,1,0,1,0,1,1,0,0,99.5,178.2,67.9,52.0,3053,0,0,0,1,0,0,0,0,1,0,0,0,0,0,131,0,0,0,0,0,1,0,0,3.13,160,16,22,17859.167
0,1,0,0,1,1,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2395,0,0,0,1,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,1,0,0,3.5,101,23,29,16430.0
0,1,0,0,1,1,0,1,0,0,0,1,101.2,176.8,64.8,54.3,2395,0,0,0,1,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,1,0,0,3.5,101,23,29,16925.0
0,1,0,0,1,1,0,0,1,0,0,1,101.2,176.8,64.8,54.3,2710,0,0,0,1,0,0,0,0,0,0,1,0,0,0,164,0,0,0,0,0,1,0,0,3.31,121,21,28,20970.0
0,1,0,0,1,1,0,1,0,0,0,1,101.2,176.8,64.8,54.3,2765,0,0,0,1,0,0,0,0,0,0,1,0,0,0,164,0,0,0,0,0,1,0,0,3.31,121,21,28,21105.0
0,1,0,0,1,1,0,1,0,0,0,1,103.5,189.0,66.9,55.7,3055,0,0,0,1,0,0,0,0,0,0,1,0,0,0,164,0,0,0,0,0,1,0,0,3.31,121,20,25,24565.0
0,1,0,0,1,1,0,1,0,0,0,1,103.5,189.0,66.9,55.7,3230,0,0,0,1,0,0,0,0,0,0,1,0,0,0,209,0,0,0,0,0,1,0,0,3.62,182,16,22,30760.0
0,1,0,0,1,1,0,0,1,0,0,1,103.5,193.8,67.9,53.7,3380,0,0,0,1,0,0,0,0,0,0,1,0,0,0,209,0,0,0,0,0,1,0,0,3.62,182,16,22,41315.0
0,1,0,0,1,1,0,1,0,0,0,1,110.0,197.0,70.9,56.3,3505,0,0,0,1,0,0,0,0,0,0,1,0,0,0,209,0,0,0,0,0,1,0,0,3.62,182,15,20,36880.0
1,0,0,0,1,1,0,0,1,0,1,0,88.4,141.1,60.3,53.2,1488,0,0,1,0,0,0,0,0,0,0,0,1,0,0,61,0,1,0,0,0,0,0,0,2.91,48,47,53,5151.0
1,0,0,0,1,1,0,0,1,0,1,0,94.5,155.9,63.6,52.0,1874,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,3.03,70,38,43,6295.0
1,0,0,0,1,1,0,1,0,0,1,0,94.5,158.8,63.6,52.0,1909,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,3.03,70,38,43,6575.0
1,0,0,0,1,1,0,0,1,0,1,0,93.7,157.3,63.8,50.8,1876,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,2.97,68,37,41,5572.0
1,0,0,0,1,1,0,0,1,0,1,0,93.7,157.3,63.8,50.8,1876,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,2.97,68,31,38,6377.0
1,0,0,0,1,0,1,0,1,0,1,0,93.7,157.3,63.8,50.8,2128,0,0,0,1,0,0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,1,0,0,3.03,102,24,30,7957.0
1,0,0,0,1,1,0,1,0,0,1,0,93.7,157.3,63.8,50.6,1967,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,2.97,68,31,38,6229.0
1,0,0,0,1,1,0,1,0,0,1,0,93.7,157.3,63.8,50.6,1989,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,2.97,68,31,38,6692.0
1,0,0,0,1,1,0,1,0,0,1,0,93.7,157.3,63.8,50.6,1989,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,2.97,68,31,38,7609.0
1,0,0,0,1,0,1,0,1,0,1,0,93.7,157.3,63.8,50.6,2191,0,0,0,1,0,0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,1,0,0,3.03,102,24,30,8558.0
1,0,0,0,1,1,0,1,0,0,1,0,103.3,174.6,64.6,59.8,2535,0,0,0,1,0,0,0,0,0,1,0,0,0,0,122,0,1,0,0,0,0,0,0,3.34,88,24,30,8921.0
1,0,0,0,1,0,1,0,1,0,1,0,95.9,173.2,66.3,50.2,2811,0,0,0,1,0,0,0,0,0,1,0,0,0,0,156,0,0,0,0,1,0,0,0,3.6,145,19,24,12964.0
1,0,0,0,1,1,0,0,1,0,1,0,86.6,144.6,63.9,50.8,1713,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.91,58,49,54,6479.0
1,0,0,0,1,1,0,0,1,0,1,0,86.6,144.6,63.9,50.8,1819,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.91,76,31,38,6855.0
1,0,0,0,1,1,0,0,1,0,1,0,93.7,150.0,64.0,52.6,1837,0,0,0,1,0,0,0,0,0,1,0,0,0,0,79,1,0,0,0,0,0,0,0,2.91,60,38,42,5399.0
1,0,0,0,1,1,0,0,1,0,1,0,93.7,150.0,64.0,52.6,1940,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.91,76,30,34,6529.0
1,0,0,0,1,1,0,0,1,0,1,0,93.7,150.0,64.0,52.6,1956,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.91,76,30,34,7129.0
1,0,0,0,1,1,0,1,0,0,1,0,96.5,163.4,64.0,54.5,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.91,76,30,34,7295.0
1,0,0,0,1,1,0,1,0,0,1,0,96.5,157.1,63.9,58.3,2024,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,1,0,0,0,0,0,0,0,2.92,76,30,34,7295.0
1,0,0,0,1,1,0,0,1,0,1,0,96.5,167.5,65.2,53.3,2236,0,0,0,1,0,0,0,0,0,1,0,0,0,0,110,1,0,0,0,0,0,0,0,3.15,86,27,33,7895.0
1,0,0,0,1,1,0,0,1,0,1,0,96.5,167.5,65.2,53.3,2289,0,0,0,1,0,0,0,0,0,1,0,0,0,0,110,1,0,0,0,0,0,0,0,3.15,86,27,33,9095.0
1,0,0,0,1,1,0,1,0,0,1,0,96.5,175.4,65.2,54.1,2304,0,0,0,1,0,0,0,0,0,1,0,0,0,0,110,1,0,0,0,0,0,0,0,3.15,86,27,33,8845.0
